dataset,split,point_index,t,measured_X,measured_Y,measured_Z,ref_X,ref_Y,ref_Z
Dataset01,all,204,20.400000000000002,9.5694446,9.3700423,-4.5880073,9.569766959654775,9.370202478707686,-4.588257151820843
Dataset01,all,205,20.5,9.5647022,9.36892,-4.5913224,9.564831390669184,9.369039505137788,-4.591295979301237
Dataset01,all,206,20.6,9.5580083,9.3693326,-4.4519211,9.55819826134862,9.369376285758163,-4.4577704290610525
Dataset01,all,207,20.700000000000003,9.5695306,9.3825004,-4.142084,9.568954692948122,9.382011046648273,-4.1546721401293185
Dataset01,all,208,20.8,9.5715785,9.3792372,-3.9192927,9.571413978060006,9.379447819298916,-3.9274263259406137
Dataset01,all,209,20.900000000000002,9.5771374,9.3802355,-3.846313,9.576860009616503,9.380280137229027,-3.847347016539878
Dataset01,all,210,21.0,9.580144,9.3714847,-3.8545685,9.57999238698676,9.371920432197928,-3.851866234193466
Dataset01,all,211,21.1,9.5771562,9.3557865,-3.8770845,9.577270713508014,9.3564852567929,-3.8738855554618867
Dataset01,all,212,21.200000000000003,9.5771481,9.3384346,-3.8878921,9.57714032334435,9.339148935379871,-3.8854459591221544
Dataset01,all,213,21.3,9.5720175,9.3200771,-3.8991334,9.57221660730356,9.320768672466862,-3.896922555182396
Dataset01,all,214,21.400000000000002,9.5724575,9.3138222,-3.9062876,9.572417359534958,9.313950994578338,-3.904455754643432
Dataset01,all,215,21.5,9.5702481,9.3048682,-3.9121828,9.570310984539752,9.30507338724398,-3.910584848597462
Dataset01,all,216,21.6,9.5695841,9.3017055,-3.9220442,9.5695817992585,9.301656406387414,-3.9204374640393644
Dataset01,all,217,21.700000000000003,9.5684672,9.2928137,-3.9286758,9.568481095151316,9.292994812363805,-3.927347789222358
Dataset01,all,218,21.8,9.56694,9.2870737,-3.9318207,9.566970219363581,9.287117896763688,-3.930768550992026
Dataset01,all,219,21.900000000000002,9.5677675,9.2777042,-3.9342095,9.567698554927716,9.277888395774086,-3.933295450151051
Dataset01,all,220,22.0,9.569512,9.2816469,-3.9341667,9.569407415606003,9.281271228490791,-3.933441615076822
Dataset01,all,221,22.1,9.5757016,9.2844431,-3.93633,9.575421755097324,9.284125732964375,-3.9355875870844303
Dataset01,all,222,22.200000000000003,9.5799442,9.2884832,-3.9318939,9.579762823872784,9.288145766971116,-3.9314903108257404
Dataset01,all,223,22.3,9.581061,9.2900654,-3.9332128,9.581029043861673,9.289859131042654,-3.932622531810308
Dataset01,all,224,22.400000000000002,9.5873186,9.2948705,-3.9388531,9.58708373219222,9.294555478596125,-3.9381305497500274
Dataset01,all,225,22.5,9.5836122,9.2949415,-3.9291378,9.58380114788638,9.294845806967924,-3.929108581300723
Dataset01,all,226,22.6,9.5852632,9.2992127,-3.9268161,9.585231558685821,9.298961550473658,-3.9265132570430423
Dataset01,all,227,22.700000000000003,9.5798298,9.301822,-3.9202495,9.580084053220125,9.301655774206694,-3.920137909590692
Dataset01,all,228,22.8,9.574907,9.3009982,-3.9114775,9.575128898589893,9.300992131006875,-3.9114748664424637
Dataset01,all,229,22.900000000000002,9.5671896,9.3021402,-3.9049203,9.567505245528913,9.302060228577336,-3.9048310736448246
Dataset01,all,230,23.0,9.5621087,9.30063,-3.8963323,9.562290833803857,9.300663603973371,-3.8963313435294213
